lat,lon,ts,bike,childCheckBox,trailerCheckBox,pLoc,incident,i1,i2,i3,i4,i5,i6,i7,i8,i9,scary,desc,i10,region
50.53440847,7.04615373,1617198528000,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,,0,Ahrweiler
50.692682,7.145085,1642848164000,1,0,0,0,4,0,0,0,0,0,0,1,0,0,1,,0,Ahrweiler
50.684718,7.157440,1642848345000,1,0,0,0,6,0,0,0,0,0,0,1,0,0,1,,0,Ahrweiler
50.697648,7.159860,1642004556001,1,0,0,0,6,0,0,0,0,0,0,1,0,0,1,"Dooring",0,Ahrweiler
50.689475,7.144919,1642004842000,1,0,0,0,8,0,0,0,0,0,0,1,0,0,1,"Sudden U Turn ",0,Ahrweiler
50.698182,7.144755,1642675255000,1,0,0,0,1,0,0,0,0,0,0,1,0,0,0,,0,Ahrweiler
50.701696,7.150987,1642675408000,1,0,0,0,3,0,0,0,0,0,0,1,0,0,1,,0,Ahrweiler
50.735525,7.105128,1643121247000,1,0,0,0,1,0,0,0,0,0,0,1,0,0,0,,0,Ahrweiler
50.696136,7.138637,1642505147000,1,0,0,0,4,0,0,0,0,0,0,1,0,0,1,,0,Ahrweiler
50.728418,7.109558,1643118262000,1,0,0,0,1,0,0,0,0,0,0,1,0,0,0,,0,Ahrweiler
50.738784,7.102513,1643118549000,1,0,0,0,1,0,0,0,0,0,0,1,0,0,0,,0,Ahrweiler
50.694399,7.134434,1642674429000,1,0,0,0,8,0,0,0,0,1,0,0,0,0,0,"Blocking road / bike path",0,Ahrweiler
50.697036,7.140543,1642418887000,1,0,0,0,1,0,0,0,0,0,0,1,0,0,1,"Very close passing",0,Ahrweiler
50.696285,7.139276,1642419476000,1,0,0,0,3,0,0,0,0,0,0,1,0,0,0,,0,Ahrweiler
50.686950,7.152685,1642006734001,1,0,0,0,4,0,0,0,0,0,0,1,0,0,1,,0,Ahrweiler
50.695268,7.161807,1642849951000,1,0,0,0,1,0,0,0,0,0,0,1,0,0,1,,0,Ahrweiler
50.697147,7.140834,1642660816000,1,0,0,0,1,0,0,0,0,0,0,1,0,0,1,,0,Ahrweiler
50.695774,7.137642,1642660891000,1,0,0,0,1,0,0,0,0,0,0,1,0,0,1,,0,Ahrweiler
50.694052,7.132130,1642661026000,1,0,0,0,1,0,0,0,0,0,0,1,0,0,1,,0,Ahrweiler
50.702307,7.152177,1642661613000,1,0,0,0,3,0,0,0,0,0,0,1,0,0,1,,0,Ahrweiler
