lat,lon,ts,bike,childCheckBox,trailerCheckBox,pLoc,incident,i1,i2,i3,i4,i5,i6,i7,i8,i9,scary,desc,i10,region
50.344223,7.588327,1619772098000,1,0,0,0,8,0,0,0,0,0,0,0,0,0,0,"Baustelle ",0,Alzey
50.351597,7.559505,1619706373001,1,0,0,0,4,0,0,0,0,0,0,1,0,0,0,,0,Alzey
50.356201,7.565206,1619156725001,1,0,0,0,2,0,0,0,0,0,0,1,0,0,1,,0,Alzey
50.355975,7.563835,1618984755000,1,0,0,0,4,0,0,0,0,0,0,1,0,0,1,"",0,Alzey
50.352671,7.580210,1619786713000,1,0,0,0,8,0,0,0,0,0,0,0,0,0,0,"Kette abgesprungen auf dem holprigen Radweg ",0,Alzey
50.355090,7.562714,1619761457000,1,0,0,0,4,0,0,0,0,0,0,1,0,0,0,,0,Alzey
50.352576,7.581070,1619502102000,1,0,0,0,7,0,0,0,0,1,0,0,0,0,0,,0,Alzey
50.352884,7.561327,1621489369002,1,0,0,0,3,0,0,0,0,0,0,1,0,0,0,,0,Alzey
50.355259,7.562794,1622563319011,1,0,0,0,4,0,0,0,0,0,0,1,0,0,0,,0,Alzey
50.353254,7.560886,1622563391001,1,0,0,0,2,0,0,0,0,0,0,1,0,0,1,"rückwärts ohne den Verkehr zu beachten",0,Alzey
50.352222,7.560148,1622563445003,1,0,0,0,4,0,0,0,0,0,0,1,0,0,1,,0,Alzey
50.359151,7.595397,1623071855000,1,0,0,0,2,1,0,0,0,0,0,0,0,0,0,,0,Alzey
50.356011,7.563814,1622094113000,1,0,0,0,4,0,0,0,0,0,0,1,0,0,0,,0,Alzey
50.355956,7.563849,1622612643000,1,0,0,0,4,0,0,0,0,0,0,0,0,0,0,,0,Alzey
50.355957,7.563903,1622180715000,1,0,0,0,4,0,0,0,0,1,0,0,0,0,0,,0,Alzey
50.355659,7.587768,1623072890000,1,0,0,0,7,0,0,1,0,0,0,0,0,0,0,,0,Alzey
50.355058,7.562767,1622525787000,1,0,0,0,4,0,0,0,0,0,0,1,0,0,0,,0,Alzey
