lat,lon,ts,bike,childCheckBox,trailerCheckBox,pLoc,incident,i1,i2,i3,i4,i5,i6,i7,i8,i9,scary,desc,i10,region
50.831241,6.894915,1620716970001,1,0,0,2,8,0,0,0,0,0,0,0,0,0,1,"Für abbiegende Fahrradfahrer gibt es keinen vernünftigen Weg. Sie müssen auf die Linksabbiegerspur, dann ein Stück weiter geradeaus und dann links auf die Verkehrsinsel, dann über eine weitere Abbiegespur zum gemeinsamen Geh- und Radweg.",0,Bruehl
50.70003513,7.06511699,1624733879000,0,0,0,0,4,0,0,0,0,0,0,1,0,0,1,,0,Bruehl
50.72686038,7.07238636,1626364988000,,0,0,,4,1,0,0,0,0,0,1,0,0,0,Straße zu schmal.,0,Bruehl
50.72927766,7.10218881,1625671355000,,0,0,,7,0,0,0,0,0,0,0,0,0,0,Straßenbahngleise auf diesem Abschnitt.,0,Bruehl
50.72690431,7.07239994,1625672028000,,0,0,,4,0,0,0,0,0,0,1,0,0,0,Einbahnstraße zu eng bei Gegenverkehr.,0,Bruehl
50.72895298,7.10228828,1626794253000,,0,0,,7,0,0,0,0,0,0,0,0,0,0,Straßenbahngleise,0,Bruehl
50.72568294,7.07543711,1626794897000,,0,0,,2,0,0,0,0,0,0,1,0,0,1,,0,Bruehl
50.72651911,7.07163373,1626794990000,,0,0,,6,0,0,0,0,0,0,1,0,0,0,,0,Bruehl
50.72655616,7.07200416,1625758231000,,0,0,,2,0,0,0,0,0,0,1,0,0,0,,0,Bruehl
51.05452962,13.71971282,1619159457000,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,Engstelle Löbtauer Straße Ecke Schäferstraße. Marker kann dort nicht platziert werden. ,0,Bruehl
51.07123996,13.72805118,1619110947000,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,,0,Bruehl
50.93823935,6.88186712,1651213224466,1,0,0,1,7,0,0,0,0,0,0,0,0,0,0,,0,Bruehl
50.93842074,6.88171175,1651213227520,1,0,0,1,7,0,0,0,0,0,0,0,0,0,0,,0,Bruehl
50.93897139,6.88123488,1651213239635,1,0,0,1,1,0,0,0,0,0,0,1,1,0,0,Radweg zugeparkt,0,Bruehl
50.94030506,6.88015915,1651213263974,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,,0,Bruehl
50.9404646,6.88004894,1651213267000,1,0,0,1,7,0,0,0,0,0,0,0,0,0,0,,0,Bruehl
50.94145111,6.87934442,1651213288248,1,0,0,1,7,0,0,0,0,0,0,0,0,0,0,,0,Bruehl
50.94266081,6.88085927,1651213318692,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,,0,Bruehl
50.94388865,6.88310837,1651213358117,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,,0,Bruehl
50.94642203,6.88530336,1651213412751,1,0,0,1,7,0,0,0,0,0,0,0,0,0,0,,0,Bruehl
50.94673442,6.88552784,1651213424861,1,0,0,1,7,0,0,0,0,0,0,0,0,0,0,,0,Bruehl
50.94680668,6.88561145,1651213433967,1,0,0,1,7,0,0,0,0,0,0,0,0,0,0,,0,Bruehl
50.94818173,6.8884235,1651213521909,1,0,0,1,7,0,0,0,0,0,0,0,0,0,0,,0,Bruehl
50.94613695,6.88510015,1651213400000,1,0,0,1,8,0,0,0,0,0,0,1,0,0,0,Diverse Zweitereiheparker. ,0,Bruehl
50.94544507,6.94075151,1651231646738,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,,0,Bruehl
50.94448544,6.94303443,1651231680155,1,0,0,1,7,0,0,0,0,0,0,0,0,0,0,,0,Bruehl
50.94551035,6.94723482,1651231789348,1,0,0,1,7,0,0,0,0,0,0,0,0,0,0,,0,Bruehl
50.96973886,6.90514482,1651230723837,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,,0,Bruehl
50.96957128,6.90515333,1651230726872,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,,0,Bruehl
50.95561451,6.91547622,1651231151967,1,0,0,1,7,0,0,0,0,0,0,0,0,0,0,,0,Bruehl
50.95439125,6.91862873,1651231224812,1,0,0,1,7,0,0,0,0,0,0,0,0,0,0,,0,Bruehl
50.95348969,6.92091401,1651231288564,1,0,0,1,7,0,0,0,0,0,0,0,0,0,0,,0,Bruehl
50.95210644,6.92454851,1651231355277,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,,0,Bruehl
50.95172206,6.92529206,1651231370494,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,,0,Bruehl
50.95115728,6.92636347,1651231388720,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,,0,Bruehl
