lat,lon,ts,bike,childCheckBox,trailerCheckBox,pLoc,incident,i1,i2,i3,i4,i5,i6,i7,i8,i9,scary,desc,i10,region
49.43613067,7.77244119,1617551494000,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,,0,Kaiserslautern
49.380375,8.691932,1621451165987,0,0,0,0,2,0,0,0,0,0,0,1,0,0,0,,0,Kaiserslautern
49.396751,8.689653,1621415337998,0,0,0,0,2,0,0,0,0,0,0,1,0,0,0,,0,Kaiserslautern
49.389687,8.690252,1620623929004,0,0,0,0,3,0,0,0,0,0,0,1,0,0,0,,0,Kaiserslautern
49.407999,8.671659,1620066591003,0,0,0,0,2,0,0,0,0,0,0,1,0,0,0,,0,Kaiserslautern
49.389977,8.690229,1623648231997,0,0,0,0,7,0,0,0,0,0,0,0,0,0,0,,0,Kaiserslautern
49.411281,8.692813,1624862345000,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,,0,Kaiserslautern
49.407855,8.676985,1622329852997,0,0,0,0,3,0,0,0,0,0,0,1,0,0,1,,0,Kaiserslautern
49.407977,8.675163,1623943964999,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,,0,Kaiserslautern
49.415744,8.728685,1622891746997,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,,0,Kaiserslautern
49.398716,8.689204,1623216417001,0,0,0,0,4,0,1,0,0,0,0,0,0,0,0,,0,Kaiserslautern
49.398361,8.689271,1623216425001,0,0,0,0,3,0,1,0,0,0,0,0,0,0,0,,0,Kaiserslautern
49.409093,8.692373,1625059778011,0,0,0,0,3,1,0,0,0,0,0,0,0,0,0,,0,Kaiserslautern
49.409263,8.692601,1624888946005,0,0,0,0,3,0,0,0,0,0,0,1,0,0,1,,0,Kaiserslautern
49.409012,8.692448,1624888952005,0,0,0,0,3,0,0,0,0,0,0,1,0,0,0,,0,Kaiserslautern
49.404437,8.687222,1624889175998,0,0,0,0,3,0,0,0,0,0,0,1,0,0,0,,0,Kaiserslautern
49.396627,8.689649,1624340144000,0,0,0,0,3,0,0,0,0,0,0,1,0,0,1,,0,Kaiserslautern
49.385934,8.690365,1624340312001,0,0,0,0,2,0,0,0,0,1,0,0,0,0,0,,0,Kaiserslautern
49.407700,8.679053,1623949708998,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,,0,Kaiserslautern
49.409694,8.704116,1626287483998,0,0,0,0,3,0,1,0,0,0,0,0,0,0,1,,0,Kaiserslautern
49.407400,8.684336,1626351343004,0,0,0,0,3,0,0,0,0,0,0,1,0,0,1,,0,Kaiserslautern
49.407249,8.684315,1626351346004,0,0,0,0,3,0,0,0,0,0,0,1,0,0,1,,0,Kaiserslautern
49.411148,8.692067,1625146279008,0,0,0,0,2,0,0,0,0,0,0,1,0,0,0,,0,Kaiserslautern
49.409077,8.692513,1625146345010,0,0,0,0,3,0,0,0,0,0,0,1,0,0,0,,0,Kaiserslautern
49.408849,8.681086,1626375621997,0,0,0,0,3,0,0,0,0,0,0,1,0,0,0,,0,Kaiserslautern
49.409313,8.692606,1625750333999,0,0,0,0,1,1,0,0,0,0,0,0,0,0,1,,0,Kaiserslautern
49.411239,8.692099,1625671703003,0,0,0,0,3,0,0,0,0,0,0,1,0,0,1,,0,Kaiserslautern
49.410803,8.692088,1625671712003,0,0,0,0,2,0,0,0,0,0,0,1,0,0,0,,0,Kaiserslautern
49.410617,8.692214,1625671718003,0,0,0,0,2,0,0,0,1,0,0,0,0,0,0,,0,Kaiserslautern
49.406316,8.692058,1625671894000,0,0,0,0,8,0,0,0,0,0,0,1,0,0,0,,0,Kaiserslautern
49.411239,8.692099,1625671703003,0,0,0,0,3,0,0,0,0,0,0,1,0,0,1,,0,Kaiserslautern
49.410803,8.692088,1625671712003,0,0,0,0,2,0,0,0,0,0,0,1,0,0,0,,0,Kaiserslautern
49.410617,8.692214,1625671718003,0,0,0,0,2,0,0,0,1,0,0,0,0,0,0,,0,Kaiserslautern
49.406316,8.692058,1625671894000,0,0,0,0,8,0,0,0,0,0,0,1,0,0,0,,0,Kaiserslautern
49.410248,8.692420,1625495367003,0,0,0,0,3,0,0,0,0,0,0,1,0,0,1,,0,Kaiserslautern
49.405773,8.689107,1626250436999,0,0,0,0,4,0,0,0,0,0,0,1,0,0,0,,0,Kaiserslautern
