lat,lon,ts,bike,childCheckBox,trailerCheckBox,pLoc,incident,i1,i2,i3,i4,i5,i6,i7,i8,i9,scary,desc,i10,region
54.31516654,10.13105531,1715935670000,1,0,0,0,7,0,0,1,0,0,0,0,0,0,0,"Fußgänger plötzlich auf den Radweg gelaufen.",0,Kiel
54.31676363,10.12749977,1716540129000,1,0,0,0,4,0,0,0,0,0,0,1,0,0,0,"",0,Kiel
54.31778896,10.12834379,1716540147000,1,0,0,0,3,0,1,0,0,0,0,0,0,0,0,"",0,Kiel
54.28261523,10.24016572,1717414260000,7,0,0,0,7,0,0,1,0,0,0,0,0,0,0,"Fußgänger mit Kopfhörern, Wechsel auf Fahrbahn",0,Kiel
54.31695669,10.13216349,1716807389000,7,0,0,0,4,0,1,0,0,0,0,0,0,0,0,"Geisterradler",0,Kiel
54.31571504,10.13398633,1716807331000,7,0,0,0,3,0,1,0,0,0,0,0,0,0,0,"",0,Kiel
54.31526609,10.185692,1716806391000,7,0,0,0,1,0,0,0,0,0,0,1,0,0,1,"Punishmentpass und Ausbremsen. Fahrer ließ erst nach Hinweis auf Dashcam ab.",0,Kiel
54.28260076,10.23981417,1717408286000,7,0,0,0,3,0,0,0,0,0,0,1,0,0,0,"",0,Kiel
54.2841433,10.23795445,1717408252000,7,0,0,0,7,0,0,0,0,0,0,0,0,0,0,"Enge Umlaufsperre bergab",0,Kiel
54.30169653,10.16381373,1717058478000,7,0,0,0,1,1,0,0,0,0,0,1,0,0,0,"Enges Überholmanöver durch Fahrer bei entgegenkommendem Bus",0,Kiel
54.29821942,10.23194473,1717060294000,7,0,0,0,1,0,0,0,0,0,0,1,0,0,1,"Fahrer überholt auf sehr (!) enger Fahrbahn",0,Kiel
54.3042928,10.22224081,1717060446000,7,0,0,0,7,0,0,1,0,0,0,0,0,0,0,"",0,Kiel
54.31532266,10.13397401,1717507376000,7,0,0,0,7,0,0,1,0,0,0,0,0,0,0,"",0,Kiel
54.31990078,10.12827926,1707049291000,1,0,0,0,1,0,0,0,0,0,0,1,0,0,0,"",0,Kiel
54.31110329,10.12714842,1713198923000,1,0,0,0,3,0,0,0,0,0,0,1,0,0,0,"Vorfahrt missachtet.",0,Kiel
54.30880714,10.20390761,1713438193000,7,0,0,0,7,0,0,0,0,0,0,0,0,1,0,"Fahrbahnschäden",0,Kiel
54.31708907,10.13239395,1713439314000,7,0,0,0,7,0,0,1,0,0,0,0,0,0,0,"Fußgänger tritt unachtsam auf Radweg",0,Kiel
54.32123498,10.13723404,1713439463000,7,0,0,0,1,1,0,0,0,0,0,0,0,0,1,"Bus der KVG überholt mich und Liegerad in Engstelle hinein",0,Kiel
54.3201037,10.1742809,1713442833000,7,0,0,0,1,0,0,0,0,0,0,1,0,0,1,"Punishment-Pass inkl versuchtem Ausbremsen",0,Kiel
54.31938603,10.16566097,1713438769000,7,0,0,0,8,0,0,0,0,0,0,0,0,0,0,"Sturzgefahr durch Rampe an Baustelle",0,Kiel
54.31128168,10.12737915,1712818850000,1,0,0,0,2,0,0,0,0,0,0,1,0,0,0,"",0,Kiel
54.31605258,10.1265589,1712819004000,1,0,0,0,1,0,0,0,0,0,0,1,0,0,0,"",0,Kiel
54.31359163,10.12614694,1714405353000,1,0,0,0,6,0,1,0,0,0,0,1,0,0,1,"Direkt vor mir ist ein Radfahrer von einer öffnenden Autotür vom Rad geholt worden und ist mir vors Rad geworfen worden",0,Kiel
54.31798273,10.1274148,1711640082000,1,0,0,0,1,0,0,0,0,0,0,1,0,0,0,"",0,Kiel
54.32244813,10.11249041,1712835504000,1,0,0,0,2,0,0,0,0,0,0,1,0,0,0,"",0,Kiel
54.32029909,10.12885087,1714051906000,1,0,0,0,8,0,0,0,0,0,0,1,0,0,0,"Vorfahrt Mißachtet",0,Kiel
54.30836989,10.13875743,1712224299000,1,0,0,0,2,0,0,0,0,0,0,1,0,0,0,"Vorfahrt genommen an der Tankstellenausfahrt",0,Kiel
54.31532524,10.1285968,1722961627000,1,0,0,0,3,0,1,0,0,0,0,1,0,0,0,"",0,Kiel
54.28945547,10.21609011,1725543550000,1,0,0,1,1,0,0,0,0,0,0,1,0,0,0,"",0,Kiel
54.300132,10.16662785,1725544376000,1,0,0,1,1,0,0,0,0,0,0,1,0,0,1,"",0,Kiel
54.35415407,10.12012127,1723577690000,1,0,0,0,8,0,0,0,0,0,0,1,0,0,0,"Vorfahrt nicht beachtet",0,Kiel
54.31846204,10.12345934,1726663387000,1,0,0,0,7,0,0,0,0,0,0,1,0,0,0,"Vorfahrt genommen, PKW stand auf dem Fahrradstreifen",0,Kiel
54.31956051,10.122812,1726663409000,1,0,0,0,7,0,0,0,0,0,0,0,0,0,0,"Vorfahrt genommen, PKW stand auf dem Fahrradstreifen",0,Kiel
54.35367887,10.10501594,1726664291000,1,0,0,0,1,0,0,0,0,0,0,1,0,0,0,"",0,Kiel
54.32011689,10.11469881,1725565305000,1,0,0,1,3,0,0,0,0,0,0,1,0,0,0,"Vorfahrt genommen",0,Kiel
54.33074324,10.12487378,1743172757000,1,0,0,0,4,0,0,0,0,0,0,1,0,0,0,"",0,Kiel
54.33054773,10.12512633,1743172760000,1,0,0,0,1,0,0,0,0,0,0,1,0,0,0,"",0,Kiel
54.32805853,10.12590982,1743172815000,1,0,0,0,3,0,0,0,0,0,0,1,0,0,1,"Vorfahrt genommen.",0,Kiel
54.32818476,10.12823035,1673266455000,1,0,0,0,1,0,0,0,0,0,0,1,0,0,0,"",0,Kiel
54.329636666666666,10.131568333333332,1674758826000,1,0,0,2,7,0,0,0,1,0,0,0,0,0,0,"Lieferwagen der auf dem Radweg der baulich Teil des Fußwegs war geparkt hat",0,Kiel
54.32652500000001,10.128026666666667,1674643289000,1,0,0,2,5,0,0,0,1,0,0,1,0,0,1,"PWK der auf dem Fahrradschutzstreifen gehalten hat. mit ca 4 m Abstand zu einem Lieferwagen der auf der Straße geparkt hat. dadurch keine Möglichkeit beim Pkw überholen sinnvoll den Vorbeifahren Verkehr zu sehen. dann ist Pkw nach hintengesetzt",0,Kiel
54.32070999999999,10.124778333333333,1674143285000,1,0,0,2,7,0,0,0,0,0,0,1,0,0,0,"PKW stand auf Fahrradstreifen",0,Kiel
54.318756666666665,10.124476666666668,1674143358000,1,0,0,2,2,0,0,0,1,0,0,0,0,0,0,"",0,Kiel
54.31782333333334,10.124103333333332,1674143415000,1,0,0,2,5,0,0,0,0,0,0,1,0,0,0,"enges auffahren beim abbiegen trotz gegebenem Handzeichen",0,Kiel
54.33314,10.128766666666667,1674132510000,1,0,0,2,7,0,0,0,0,0,0,1,0,0,1,"zwei Auf radspur parkende PKW",0,Kiel
54.326465000000006,10.138205,1674025854000,1,0,0,2,4,0,1,0,0,0,0,1,0,0,0,"",0,Kiel
54.326069999999994,10.136146666666667,1674040798000,1,0,0,2,7,0,0,1,0,0,0,0,0,0,0,"",0,Kiel
54.32029166666666,10.125193333333334,1674041145000,1,0,0,2,4,0,0,0,0,0,0,1,0,0,0,"",0,Kiel
54.32158166666667,10.127191666666667,1674041048000,1,0,0,2,2,0,0,0,0,0,0,1,0,0,0,"",0,Kiel
54.31777606,10.12814703,1679915463000,1,0,0,0,4,0,1,0,0,0,0,1,0,0,0,"Ist eine Fahrradstraße, PKW hat den Vorrang des Radfahrers nicht beachtet.",0,Kiel
54.31572414,10.13331497,1677864605000,1,0,0,0,3,0,1,0,0,0,0,1,0,0,1,"",0,Kiel
54.31360128,10.12986838,1677488196000,1,0,0,0,3,0,0,0,0,0,0,1,0,0,1,"PKW hat beim rechts abbiegen den geradeaus fahrenden Radfahrer nicht beachtet",0,Kiel
54.319488333333325,10.122913333333335,1682490299000,1,0,0,2,8,0,0,0,0,0,0,1,0,0,1,"Pkw mittig auf Fahrradstreifen stehend. \nauf den Hinweis meinerseits das das lebensgefährlich sein kann für mich als Radfahrende kam als Antwort. "ich weiß"",0,Kiel
54.31775886,10.13487033,1669729357000,1,0,0,0,3,0,1,0,0,0,0,0,0,0,0,"",0,Kiel
54.33798874,10.22009114,1669730912000,1,0,0,0,7,0,0,1,0,0,0,0,0,0,0,"",0,Kiel
54.35562236,10.13505693,1651724739000,8,0,0,0,3,0,1,0,0,0,0,1,0,0,1,"",0,Kiel
54.31160837,10.12768104,1653244566000,1,0,0,0,8,0,0,0,0,0,0,1,0,0,0,"Parken auf dem Radweg",0,Kiel
54.33862978,10.12548165,1651839383000,1,0,0,0,3,0,0,0,0,0,0,1,0,0,0,"",0,Kiel
54.36630526,10.13186476,1651674856000,0,0,0,0,8,0,1,1,0,0,0,0,0,0,0,"Fährüberfahrt",0,Kiel
54.31959086,10.12291617,1651671483000,1,0,0,0,8,0,0,0,0,0,0,1,0,0,0,"Vorfahrt genommen",0,Kiel
54.33927704,10.13408265,1659089564000,7,0,0,0,2,0,0,0,0,1,0,0,0,0,0,"",0,Kiel
54.31987768,10.12254509,1661538765000,7,0,0,0,1,0,0,0,0,0,0,1,0,0,0,"",0,Kiel
