lat,lon,ts,bike,childCheckBox,trailerCheckBox,pLoc,incident,i1,i2,i3,i4,i5,i6,i7,i8,i9,scary,desc,i10,region
50.31997379,7.48118241,1616478346000,0,0,0,0,1,1,0,0,0,1,0,0,0,0,1,Auf der kompletten Strecke bis Koblenz. Kein Radweg vorhanden!! ,0,Koblenz
50.349920,7.557328,1618206266162,1,0,0,0,3,0,0,0,0,0,0,1,0,0,0,"Fahrzeug biegt links aus der Seitenstraße ab und übersieht mich.",0,Koblenz
50.355975,7.563835,1618984755000,1,0,0,0,4,0,0,0,0,0,0,1,0,0,1,"",0,Koblenz
50.353234,7.561882,1618305223000,1,0,0,0,1,0,1,0,0,0,0,1,0,0,1,"stark Abbremsen ",0,Koblenz
50.351300,7.556086,1618399153000,1,0,0,0,8,0,0,1,0,0,0,0,0,0,0,"Fußgänger überquert laufend die Bundesstraße und läuft mir rein",0,Koblenz
50.361268,7.584903,1618396785001,1,0,0,0,1,0,0,0,0,0,0,1,0,0,1,"irre dich ich hab die Person verfolgt und angeschrien, sie hat sich entschuldigt ",0,Koblenz
50.355708,7.563392,1618308247001,1,0,0,0,7,0,0,1,0,0,0,1,0,0,0,,0,Koblenz
50.356443,7.571398,1618828333001,1,0,0,0,6,1,0,0,0,0,0,0,0,0,0,,0,Koblenz
50.354234,7.580843,1618829363000,1,0,0,0,2,0,0,0,1,0,0,0,0,0,0,,0,Koblenz
50.352760,7.561031,1623736130000,1,0,0,0,8,0,0,0,0,0,0,1,0,0,1,"Vorfahrt genommen ",0,Koblenz
50.355714,7.563313,1623996737001,1,0,0,0,4,0,0,0,0,0,0,1,0,0,0,,0,Koblenz
50.355996,7.563778,1623996755001,1,0,0,0,2,0,0,0,0,0,0,1,0,0,0,,0,Koblenz
50.352908,7.561394,1624957348001,1,0,0,0,4,0,0,0,0,0,0,1,0,0,0,"Vorfahrt genommen ",0,Koblenz
50.356504,7.565130,1624957607029,1,0,0,0,7,0,0,1,0,0,0,0,0,0,0,,0,Koblenz
50.355109,7.562705,1627537595000,1,0,0,0,4,0,0,0,0,1,0,0,0,0,0,,0,Koblenz
50.350294,7.557906,1628573778000,1,0,0,0,4,0,0,0,0,0,0,1,0,0,0,,0,Koblenz
50.350438,7.558301,1628573790000,1,0,0,0,4,0,0,0,0,0,0,1,0,0,0,,0,Koblenz
50.355571,7.563204,1627970838000,1,0,0,0,2,0,0,0,0,0,0,1,0,0,0,,0,Koblenz
50.356098,7.564814,1630302988999,1,0,0,0,2,0,0,0,0,0,0,1,0,0,0,,0,Koblenz
50.352842,7.561193,1629437874001,1,0,0,0,4,0,0,0,0,0,0,1,0,0,1,,0,Koblenz
50.352967,7.561268,1629437886001,1,0,0,0,3,0,0,0,0,0,0,1,0,0,1,,0,Koblenz
50.355972,7.563898,1627884857000,1,0,0,0,2,0,0,0,0,0,0,1,0,0,0,,0,Koblenz
50.355454,7.563032,1630329154001,1,0,0,0,4,0,0,0,0,0,0,1,0,0,0,,0,Koblenz
50.355744,7.563222,1629180349000,1,0,0,0,4,0,1,0,0,0,0,0,0,0,0,,0,Koblenz
50.352852,7.561186,1631080727001,1,0,0,0,3,0,0,0,0,1,0,1,0,0,1,"sehr viel Verkehr ",0,Koblenz
50.394238,7.537794,1631000068000,1,0,0,0,7,0,0,0,0,0,0,0,0,1,0,"schlechte Straße ",0,Koblenz
50.361119,7.566705,1631208010000,1,0,0,0,7,0,0,1,0,0,0,0,0,0,0,,0,Koblenz
50.353040,7.561274,1631028118001,1,0,0,0,4,0,0,0,0,0,0,1,0,0,1,"",0,Koblenz
50.352923,7.561283,1631252790998,1,0,0,0,4,0,0,0,0,0,0,1,0,0,0,,0,Koblenz
50.355117,7.562754,1630647806000,1,0,0,0,4,0,0,0,0,0,0,1,0,0,0,"Falschparker ",0,Koblenz
