lat,lon,ts,bike,childCheckBox,trailerCheckBox,pLoc,incident,i1,i2,i3,i4,i5,i6,i7,i8,i9,scary,desc,i10,region
51.32798620190791,12.379612313895247,1606205640536,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,3x,0,Leipzig
51.31917817,12.334465,1590558112519,0,0,0,0,3,0,0,0,0,0,0,1,0,0,0,,0,Leipzig
51.31445397447759,12.368558180975642,1606831947711,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,,0,Leipzig
51.320410,12.330127,1601545431996,1,0,0,2,1,0,0,0,0,0,0,0,0,0,0,,0,Leipzig
51.340937079867295,12.367090820860934,1603701454065,5,1,0,0,7,0,0,0,0,0,0,1,0,0,0,Auto parkt auf radweg,0,Leipzig
51.347425,12.430234,1602601977001,8,0,0,0,8,0,0,0,0,0,0,1,0,0,0,"PKW-Fahrer befuhr plötzlich Schutzstreifen, hielt an und bog dann links ab/wendete.",0,Leipzig
51.340699,12.416930,1602602196998,8,0,0,0,8,0,0,0,0,0,0,1,0,0,0,"Vorfahrt genommen ",0,Leipzig
51.326853,12.387182,1602602661986,8,0,0,0,3,0,0,0,0,0,0,1,0,0,0,,0,Leipzig
51.3145862,12.37346899,1582047492912,1,0,0,2,1,0,0,0,0,0,0,1,0,0,0,,0,Leipzig
51.33405566,12.37408241,1582047986852,1,0,0,2,5,0,0,0,0,0,0,1,0,0,0,,0,Leipzig
51.33385747,12.37393794,1582047953259,1,0,0,2,1,0,0,0,0,0,0,1,0,0,0,,0,Leipzig
51.33674855,12.37414107,1582048106323,1,0,0,2,8,0,0,0,0,0,0,0,0,1,0,schlechte Radinfrastruktur,0,Leipzig
51.31097455,12.37338157,1582047437145,1,0,0,2,1,0,0,0,0,0,0,1,0,0,0,,0,Leipzig
51.32046669,12.37362096,1582047649693,1,0,0,2,5,0,0,0,0,0,0,1,0,0,0,,0,Leipzig
51.31740732,12.37353144,1582047575912,1,0,0,2,2,0,0,0,0,0,0,1,0,0,0,,0,Leipzig
51.32397766,12.37363243,1582047717165,1,0,0,2,1,0,0,0,0,0,0,1,0,0,0,,0,Leipzig
51.33088913,12.35645923,1582148433601,1,0,0,2,8,0,0,0,0,0,0,0,0,1,0,schlechte Radinfrastruktur,0,Leipzig
51.32911382,12.36349643,1582148338249,1,0,0,2,1,0,0,0,0,0,0,1,0,0,0,,0,Leipzig
51.34183957,12.30782894,1582149274010,1,0,0,2,8,0,0,0,0,0,0,0,0,1,0,schlechte Radinfrastruktur,0,Leipzig
51.33592205,12.32986787,1582148909200,1,0,0,2,1,0,0,0,0,0,0,1,0,0,0,,0,Leipzig
51.34444972,12.28248304,1582149636428,1,0,0,2,5,0,0,0,0,0,0,1,0,0,1,,0,Leipzig
51.33545702,12.33764565,1582148795369,1,0,0,2,1,0,0,0,0,0,0,1,0,0,0,,0,Leipzig
51.33584294,12.33067847,1582148893819,1,0,0,2,5,0,0,0,0,0,0,1,0,0,0,,0,Leipzig
51.34434416,12.28342387,1582010086853,1,0,0,2,8,0,0,0,0,0,0,0,0,0,0,fehlende Radinfrastruktur, nur Treppe keine Rampe,0,Leipzig
51.33261252,12.30383142,1582010533610,1,0,0,2,2,0,0,0,0,1,0,0,0,0,0,,0,Leipzig
51.33857828,12.29275651,1582010301321,1,0,0,2,8,0,0,0,0,0,0,0,0,0,0,fehlende Radinfrastruktur nur steile Wege,0,Leipzig
51.32645801,12.33987656,1582011125541,1,0,0,2,1,0,0,0,0,0,0,1,0,0,0,,0,Leipzig
51.32336354,12.34655249,1582011260757,1,0,0,2,8,0,0,0,0,0,0,0,0,1,0,schlechte Radinfrastruktur,0,Leipzig
51.334109999999995,12.374039999999999,1584638491936,1,0,0,1,3,0,0,0,0,0,0,1,0,0,0,,0,Leipzig
51.335795000000005,12.374588333333334,1584638553643,1,0,0,1,8,0,0,0,0,0,0,0,0,0,0,Schlagloch,0,Leipzig
51.33294863,12.37336022,1593512286693,1,0,0,0,3,0,0,0,1,0,0,0,0,0,0,,0,Leipzig
51.33567846,12.4003375,1592324534526,1,0,0,0,8,0,0,0,0,0,0,0,0,1,0,schlechte Radinfrastruktur,0,Leipzig
51.33503803,12.39995794,1592324519225,1,0,0,0,8,0,0,0,0,0,0,0,0,1,0,schlechte Radinfrastruktur,0,Leipzig
51.33485096,12.3884536,1592324316571,1,0,0,0,3,0,0,0,0,0,0,1,0,0,0,,0,Leipzig
51.32798835,12.37980214,1592324129573,1,0,0,0,1,0,0,0,0,0,0,1,0,0,0,,0,Leipzig
51.33292352,12.38773278,1592324286199,1,0,0,0,1,0,0,0,0,0,0,1,0,0,0,,0,Leipzig
51.33853246,12.32390911,1591734743244,1,0,0,2,7,0,0,0,0,0,0,0,0,1,0,Baustelle ohne Führung vom Radweg,0,Leipzig
51.33079237,12.3566089,1591734294406,1,0,0,2,4,0,1,0,0,0,0,0,0,0,0,,0,Leipzig
51.33188028,12.35474718,1591734328211,1,0,0,2,3,0,1,0,0,0,0,0,0,0,0,Radfahrer kommt unverhofft entgegen, keine klare Wegführung,0,Leipzig
51.33820148,12.32562814,1591734724929,1,0,0,2,7,0,0,0,0,0,0,0,0,1,0,Baustelle mit Sperrung aber ohne Führung für Radweg,0,Leipzig
51.33541576,12.33891313,1591734558721,1,0,0,2,1,0,0,0,0,0,0,1,0,0,0,,0,Leipzig
