lat,lon,ts,bike,childCheckBox,trailerCheckBox,pLoc,incident,i1,i2,i3,i4,i5,i6,i7,i8,i9,scary,desc,i10,region
52.10656865,11.61514919,1673864116000,1,0,0,0,3,0,0,0,0,0,0,1,0,0,1,,0,Magdeburg
52.16120906,11.63495292,1674058748000,5,0,0,2,7,0,0,1,0,0,0,0,0,0,0,Fußgänger auf Radweg\n,0,Magdeburg
52.16544541,11.65464177,1674058445000,5,0,0,2,7,0,0,1,0,0,0,0,0,0,0,Fußgänger auf Radweg,0,Magdeburg
52.16504651,11.64935772,1674058497000,5,0,0,2,7,0,0,1,0,0,0,0,0,0,0,Fußgänger auf Radweg,0,Magdeburg
52.16398964,11.64731148,1674058587000,5,0,0,2,5,0,0,0,0,0,0,1,0,0,0,,0,Magdeburg
52.16046457,11.63041238,1674058835000,5,0,0,2,2,0,0,0,0,0,0,1,0,0,0,Fahrzeugführer aus Ausfahrt schaut nicht und bremst erst in letzter Sekunde,0,Magdeburg
52.15123668,11.57241986,1674059702000,5,0,0,2,7,0,0,0,0,0,0,1,0,0,1,Fahrzeug aus Seitenstraße nimmt beinahe die Vorfahrt.,0,Magdeburg
52.1552378,11.57179002,1674059633000,5,0,0,2,1,0,0,0,0,0,0,1,0,0,0,,0,Magdeburg
52.1540172,11.57210521,1674059654000,5,0,0,2,1,0,0,0,0,0,0,1,0,0,0,,0,Magdeburg
52.13370382,11.57324381,1673793901000,5,0,0,2,1,0,0,0,0,0,0,1,0,0,0,,0,Magdeburg
52.13618744,11.57251108,1673793835000,5,0,0,2,7,0,0,1,0,0,0,0,0,0,0,Fußgänger auf Radweg,0,Magdeburg
52.12186672,11.58787958,1673794608000,5,0,0,2,7,0,0,1,0,0,0,0,0,0,0,Fußgänger auf voller Wegbreite,0,Magdeburg
52.12223882,11.5928969,1673794684000,5,0,0,2,1,0,0,0,0,0,0,1,0,0,0,,0,Magdeburg
52.12023369,11.5961522,1673794784000,5,0,0,2,1,0,0,0,0,0,0,1,0,0,0,,0,Magdeburg
52.11630939,11.60862793,1673795083000,5,0,0,2,5,0,0,0,0,0,0,1,0,0,0,,0,Magdeburg
52.15481261,11.57924186,1674022943000,5,0,0,2,1,0,0,0,0,0,0,1,0,0,0,,0,Magdeburg
52.18496724,11.65251984,1674024361000,5,0,0,2,1,0,0,0,0,0,0,1,0,0,0,,0,Magdeburg
52.12492546,11.60622918,1673796242000,5,0,0,2,1,0,0,0,0,0,0,1,0,0,0,,0,Magdeburg
52.12702374,11.60591097,1673796290000,5,0,0,2,1,0,0,0,0,0,0,1,0,0,0,,0,Magdeburg
52.14398286,11.59044581,1673796973000,5,0,0,2,1,0,0,0,0,0,0,1,0,0,0,,0,Magdeburg
52.14540078,11.58688697,1673797042000,5,0,0,2,1,0,0,0,0,0,0,1,0,0,0,,0,Magdeburg
52.14859386,11.58023951,1673797196000,5,0,0,2,1,0,0,0,0,0,0,1,0,0,0,,0,Magdeburg
52.138258,11.58003789,1673560819000,1,0,0,2,1,0,0,0,0,0,0,1,0,0,0,,0,Magdeburg
52.15287936,11.572239,1674662728000,5,0,0,2,3,0,0,0,0,0,0,1,0,0,1,Pkw aus Seitenstraße nimmt mir auf dem benutzungspflichtigen Radweg die Vorfahrt. Beide Vollbremsung.,0,Magdeburg
52.15802991,11.57288838,1674662506000,5,0,0,2,1,0,0,0,0,0,0,1,0,0,0,,0,Magdeburg
52.15961779,11.57008813,1674662466000,5,0,0,2,1,0,0,0,0,0,0,1,0,0,0,,0,Magdeburg
52.18528133,11.57135597,1674661973000,5,0,0,2,1,0,0,0,0,0,0,1,0,0,0,,0,Magdeburg
52.20937381,11.56477143,1674661369000,5,0,0,2,1,0,0,0,0,0,0,0,0,0,0,,0,Magdeburg
52.15293932,11.57947002,1672399184000,5,0,0,2,1,0,0,0,0,0,0,1,0,0,0,,0,Magdeburg
52.15026662,11.57557008,1672399290000,5,0,0,2,1,0,0,0,0,0,0,1,0,0,0,,0,Magdeburg
52.13256507,11.57362615,1673027665000,5,0,0,2,1,0,0,0,0,0,0,1,0,0,0,,0,Magdeburg
52.13257435,11.60502536,1673028039000,5,0,0,2,7,0,0,0,1,0,0,0,0,0,0,,0,Magdeburg
52.13923795,11.63539772,1666951200000,1,0,0,0,3,0,0,0,0,0,0,1,0,0,0,,0,Magdeburg
52.16662705,11.6678459,1674055823000,5,0,0,2,1,0,0,0,1,0,0,0,0,0,0,,0,Magdeburg
52.15702585,11.59032287,1673419134000,5,0,0,2,7,0,0,0,0,0,0,1,0,0,1,Auto von rechts ignoriert den Radverkehr und nimmt stumpf die Vorfahrt,0,Magdeburg
52.18419128,11.66519141,1673420440000,5,0,0,2,1,0,0,0,0,0,0,1,0,0,0,,0,Magdeburg
52.19916314,11.68212202,1673452439000,5,0,0,2,1,0,0,0,0,1,0,0,0,0,0,,0,Magdeburg
52.18395555,11.65641053,1673452986000,5,0,0,2,1,0,0,0,0,0,0,1,0,0,0,,0,Magdeburg
52.16231706,11.60642696,1673454195000,5,0,0,2,1,0,0,0,0,0,0,1,0,0,0,,0,Magdeburg
52.15519425,11.57180576,1673454727000,5,0,0,2,1,0,0,0,0,0,0,1,0,0,0,,0,Magdeburg
52.15419317,11.57205945,1673454745000,5,0,0,2,1,0,0,0,0,0,0,1,0,0,0,,0,Magdeburg
