lat,lon,ts,bike,childCheckBox,trailerCheckBox,pLoc,incident,i1,i2,i3,i4,i5,i6,i7,i8,i9,scary,desc,i10,region
48.123321,11.567258,1593093568999,1,0,0,4,2,0,0,0,1,0,0,0,0,0,0,,0,München
48.145502,11.577878,1592460540031,1,0,0,2,3,0,1,0,0,0,0,0,0,0,0,"Unklare Verkehrsbeschilderung",0,München
48.135807,11.583623,1592460893997,1,0,0,2,7,0,0,1,0,0,0,0,0,0,0,,0,München
48.119755,11.600007,1592461605997,1,0,0,2,7,0,1,0,0,0,0,0,0,0,0,,0,München
48.09820835944265,11.559009505435824,1592890036144,1,0,0,5,1,0,0,0,0,0,0,1,0,0,0,,0,München
48.10103042051196,11.547788232564926,1593096984103,1,0,0,5,8,0,0,0,0,0,0,0,0,0,0,Radweg endet auf der Straße,0,München
48.116975,11.702201,1592549295000,5,0,0,0,1,0,0,0,0,0,0,1,0,0,1,,0,München
48.127843,11.556237,1593169923998,1,0,0,4,4,0,0,0,0,0,0,1,0,0,0,,0,München
48.129286,11.555638,1593169948000,1,0,0,4,4,0,0,0,1,0,0,0,0,0,0,,0,München
48.135997,11.579334,1592490013002,7,0,0,1,3,0,0,0,0,0,0,0,1,1,1,"Vorfahrt genommen von Taxi. Passiert hier immer ",0,München
48.100178483873606,11.554749989882112,1593011504915,1,0,0,5,1,0,0,0,0,0,0,1,0,0,0,,0,München
48.126650,11.557890,1595673116000,1,0,0,4,2,0,0,0,0,0,0,1,0,0,0,,0,München
48.128129,11.556083,1595673152000,1,0,0,4,7,0,0,0,1,0,0,0,0,0,0,,0,München
48.140634,11.559873,1595673463145,1,0,0,4,3,1,1,0,0,0,0,0,0,0,0,,0,München
48.144052,11.583434,1594221405998,1,0,0,4,7,0,1,0,0,0,0,0,0,0,0,,0,München
48.121241,11.570856,1594323016000,1,0,0,4,7,0,1,0,0,0,0,0,0,0,0,,0,München
48.118553,11.507331,1595998871999,1,0,0,0,3,0,0,0,0,0,0,1,0,0,1,,0,München
48.160993,11.586323,1596000583000,1,0,0,0,7,0,0,1,0,0,0,0,0,0,1,,0,München
48.134584,11.602272,1595857481000,1,0,0,4,4,0,0,0,0,0,0,1,0,0,1,"Entgegenkommende Autofahrerin umfährt parkendes Auto auf ihrer Seite und bedrängt mich. Sie fordert mich auf, Dich auf dem Fußweg zu fahren. ",0,München
48.147499,11.558932,1595519514999,1,0,0,4,7,0,0,1,0,0,0,0,0,0,0,,0,München
48.178354,11.508328,1594826654991,1,0,0,2,4,0,0,0,0,0,0,1,0,0,1,"Fahrradstraße missachtet ",0,München
48.147375,11.559151,1594640019998,1,0,0,4,4,0,1,0,0,0,0,0,0,0,0,,0,München
48.126054,11.600327,1595434608045,1,0,0,1,1,0,1,0,0,0,0,0,0,0,0,,0,München
48.121667,11.586092,1595434847025,1,0,0,1,2,0,0,0,0,0,0,1,0,0,0,,0,München
48.118929,11.583611,1595434967049,1,0,0,1,4,0,0,0,0,0,0,1,0,0,0,,0,München
48.113473,11.587841,1595435150997,1,0,0,1,1,0,1,0,0,0,0,0,0,0,0,,0,München
48.107502,11.584597,1595435282994,1,0,0,1,2,0,0,0,0,0,0,1,0,0,0,,0,München
48.171397,11.530670,1594796080993,1,0,0,1,1,0,1,0,0,0,0,0,0,0,0,,0,München
48.172992,11.528636,1594796128992,1,0,0,1,2,0,0,0,0,0,0,1,0,0,0,,0,München
48.138667,11.578529,1595345954000,1,0,0,0,3,0,0,0,0,1,0,0,0,0,1,,0,München
48.135805,11.576106,1595346053999,1,0,0,0,7,0,1,1,0,0,0,0,0,0,1,,0,München
48.123145,11.567619,1594884247996,1,0,0,1,7,0,0,1,0,0,0,0,0,0,0,,0,München
48.147443,11.559133,1594885046994,1,0,0,1,4,0,1,0,0,0,0,0,0,0,0,,0,München
48.157373,11.550127,1594885267995,1,0,0,1,1,0,1,0,0,0,0,0,0,0,0,,0,München
48.157965,11.549398,1594885279998,1,0,0,1,1,0,1,0,0,0,0,0,0,0,0,,0,München
48.166040,11.538114,1594885512994,1,0,0,1,3,0,0,0,0,0,0,1,0,0,0,,0,München
48.137484,11.555797,1595576901996,1,0,0,1,3,0,0,0,0,0,0,1,0,0,1,"An dieser Kreuzung ist die Ampelanlage für Fußgänger*innen bereits auf rot, währenddessen die ampelschaltung für auto und Rad noch auf Grün ist. Autofahrende gehen oft davon aus, dass die fußgänger*innen ampel auch für radfahrende gilt. Deswegen kommt es an dieser Kreuzung zu vielen gefahrensituationen. ",0,München
48.147418,11.559046,1595577234999,1,0,0,1,3,0,0,0,0,0,0,1,0,0,0,,0,München
48.161480,11.544840,1595577610011,1,0,0,1,1,0,1,0,0,0,0,0,0,0,0,,0,München
48.173737,11.526441,1595577926004,1,0,0,1,4,0,1,0,0,0,0,0,0,0,0,,0,München
48.131559,11.570236,1593796233005,1,0,0,0,3,0,0,0,0,0,0,1,0,0,0,,0,München
48.126925,11.601957,1595319379990,1,0,0,1,1,0,0,0,0,0,0,1,0,0,0,,0,München
48.162393,11.586658,1595914151000,1,0,0,0,7,0,0,1,0,0,0,0,0,0,0,,0,München
48.155410,11.552164,1594811819999,1,0,0,1,1,0,1,0,0,0,0,0,0,0,0,,0,München
48.138124,11.534879,1593618668071,1,0,0,1,4,0,1,0,0,0,0,0,0,0,0,"Abbiegender Radfahrer auf Zweirichtungsradweg",0,München
48.138300,11.542157,1593618763061,1,0,0,1,8,0,0,0,0,0,0,1,0,0,0,"Schlecht einsehbare Kreuzung mit vorfahrtsberechtigtem Fahrzeug ",0,München
48.127970,11.576127,1593809930704,1,0,0,0,8,0,0,1,0,0,0,0,0,1,0,"Sehr viele Fußgänger (Partyverkehr von/zu Isar) auf Radwegfurt im Kreuzungsbereich.",0,München
48.126412,11.578059,1593809990704,1,0,0,0,4,0,1,0,0,0,0,0,0,0,0,"Kreuzender Radfahrer",0,München
48.124910,11.580309,1593810032704,1,0,0,0,2,0,0,0,0,0,0,1,0,0,0,,0,München
48.110329,11.585688,1595445085997,1,0,0,1,1,0,0,0,0,0,0,1,0,0,0,,0,München
48.125550,11.548935,1593616290003,1,0,0,0,1,0,0,0,0,0,0,1,0,0,0,,0,München
48.154288,11.553527,1595510947994,1,0,0,1,3,0,0,0,0,0,0,1,0,0,0,,0,München
48.150345,11.558028,1595511079991,1,0,0,1,1,0,1,0,0,0,0,0,0,0,0,,0,München
48.143919,11.556952,1595511203998,1,0,0,1,3,0,0,0,0,0,0,1,0,0,0,,0,München
48.137839,11.567651,1595511594999,1,0,0,1,2,0,0,0,0,0,0,1,0,0,0,,0,München
48.177694,11.547978,1594307203999,1,0,0,4,4,0,1,0,0,0,0,0,0,0,0,,0,München
48.168990,11.534524,1595491705990,1,0,0,1,1,0,1,0,0,0,0,0,0,0,0,,0,München
48.171293,11.530844,1595491761989,1,0,0,1,1,0,1,0,0,0,0,0,0,0,0,,0,München
