lat,lon,ts,bike,childCheckBox,trailerCheckBox,pLoc,incident,i1,i2,i3,i4,i5,i6,i7,i8,i9,scary,desc,i10,region
48.8386537429065,8.726789915632201,1574425748352,1,0,0,1,8,0,0,0,0,1,0,0,0,0,1,Ansetzen zum Überholen ohne Sicht und Abbruch wegen Gegenverkehr ,0,Pforzheim
48.90015020055414,8.672260032174481,1574429308769,1,0,0,1,5,0,0,0,0,1,0,0,0,0,1,Mit Hupen ,0,Pforzheim
48.817281399240684,8.743530692340899,1574083493929,1,0,0,1,1,0,0,0,0,0,0,1,0,0,0,,0,Pforzheim
48.821911823895036,8.73910012431826,1574085875437,1,0,0,1,1,0,0,0,0,0,0,1,0,0,0,,0,Pforzheim
48.88026537,8.70199956,1579868612624,3,0,0,2,1,0,0,0,0,0,0,1,0,0,0,,0,Pforzheim
48.89071176,8.71671867,1579675978793,5,0,0,2,1,0,0,0,0,0,0,1,0,0,1,,0,Pforzheim
48.8856949,8.71452402,1579675884142,5,0,0,2,1,0,0,0,0,0,0,1,0,0,1,,0,Pforzheim
48.88969228,8.71297495,1579183943983,3,0,0,2,1,0,0,0,0,0,0,1,0,0,0,,0,Pforzheim
48.89034792,8.71471393,1579183965308,3,0,0,2,1,0,0,0,1,0,0,0,0,0,1,,0,Pforzheim
48.89014169,8.71557845,1579529848002,3,0,0,2,1,0,0,0,0,0,0,1,0,0,1,,0,Pforzheim
48.89014169,8.71557845,1579529848002,3,0,0,2,1,0,0,0,0,0,0,1,0,0,1,,0,Pforzheim
48.88500796,8.71555964,1580307077604,3,0,0,2,1,0,0,0,0,0,0,1,0,0,0,,0,Pforzheim
48.88500796,8.71555964,1580307077604,3,0,0,2,1,0,0,0,0,0,0,1,0,0,0,,0,Pforzheim
48.88449346,8.71839341,1581663456736,3,0,0,2,5,0,0,0,0,0,0,1,0,0,0,,0,Pforzheim
48.88507591,8.71557545,1583850151574,3,0,0,2,1,0,0,0,0,0,0,1,0,0,0,,0,Pforzheim
48.89004031,8.71392726,1583245322558,3,0,0,2,1,0,0,0,0,0,0,1,0,0,1,,0,Pforzheim
48.89218533,8.70259799,1582531255189,3,0,0,2,1,0,0,0,0,0,0,1,0,0,0,,0,Pforzheim
48.898514999999996,8.676108333333334,1583928303487,1,0,0,4,2,0,0,0,0,0,0,1,0,0,1,Fahrradweg quert einen Parkplatz. einfahrender PKW fuhr auf den Parkplatz/Fahrradweg.,0,Pforzheim
48.88226586,8.70458596,1592493084128,3,0,0,2,1,0,0,0,1,0,0,0,0,0,1,kurz nach dem Einschalten bog der Lieferwagen rechts ab. Das Überholen war eigentlich unnötig.,0,Pforzheim
48.88531497,8.71484995,1593435945253,3,0,0,2,1,0,0,0,0,0,0,1,0,0,1,,0,Pforzheim
48.88531497,8.71484995,1593435945253,3,0,0,2,1,0,0,0,0,0,0,1,0,0,1,,0,Pforzheim
48.89017119,8.70157024,1593175890253,3,0,0,2,8,0,0,0,0,0,0,1,0,0,0,Pkw nahm Vorfahrt an Tiefgaragenausfahrt.,0,Pforzheim
48.88637084,8.69430342,1592214381585,3,0,0,2,1,0,0,0,0,0,0,1,0,0,1,,0,Pforzheim
48.88371866,8.72479397,1594128272139,3,0,0,6,4,0,0,0,0,0,0,1,0,0,0,,0,Pforzheim
48.89047018,8.71537712,1595591436644,3,0,0,6,1,0,0,0,0,0,0,1,0,0,0,,0,Pforzheim
48.88959587,8.71502511,1595591485726,3,0,0,6,1,0,0,0,0,0,0,1,0,0,1,,0,Pforzheim
48.88906963,8.71439313,1595591498063,3,0,0,6,1,0,0,0,0,0,0,1,0,0,1,,0,Pforzheim
48.88516522,8.6925497,1594965979576,3,0,0,6,5,0,0,0,0,0,0,1,0,0,1,,0,Pforzheim
