lat,lon,ts,bike,childCheckBox,trailerCheckBox,pLoc,incident,i1,i2,i3,i4,i5,i6,i7,i8,i9,scary,desc,i10,region
49.38305142,6.89860439,1700664370000,5,0,0,0,1,0,0,0,0,0,0,1,0,0,1,"",0,Saarbrücken
49.24139385,6.95161016,1696868960000,5,0,0,4,1,0,0,0,0,0,0,1,0,0,1,"",0,Saarbrücken
49.31122132,6.87345377,1696865500000,5,0,0,4,1,0,0,0,0,0,0,1,0,0,1,"",0,Saarbrücken
49.47664468,6.83384386,1689759908000,5,0,0,0,1,0,0,0,0,1,0,0,0,0,1,"",0,Saarbrücken
49.47561855,6.83380004,1689759926000,5,0,0,0,1,0,0,0,0,1,0,0,0,0,1,"",0,Saarbrücken
49.47384194,6.83425573,1689759956000,5,0,0,0,1,0,0,0,0,0,0,1,0,0,0,"",0,Saarbrücken
49.41338857,6.85235731,1689761114000,5,0,0,0,1,0,0,0,0,0,0,1,0,0,0,"",0,Saarbrücken
49.31707441,6.94298838,1689665084000,5,0,0,4,1,0,0,0,0,0,0,1,0,0,1,"",0,Saarbrücken
49.30344582,6.96872098,1689665617000,5,0,0,4,7,0,0,0,0,0,0,0,0,0,0,"Baum quer über den Weg",0,Saarbrücken
49.29009661,6.99004153,1689665949000,5,0,0,4,1,0,0,0,0,0,0,1,0,0,0,"",0,Saarbrücken
49.28951642,6.99479124,1689665979000,5,0,0,4,1,0,0,0,0,0,0,1,0,0,0,"",0,Saarbrücken
49.38092684,6.89651969,1689422553000,5,0,0,2,1,0,0,0,0,0,0,1,0,0,1,"",0,Saarbrücken
49.34909537,6.93313628,1690330629000,5,0,0,4,7,0,0,0,0,1,0,0,0,0,1,"LKW parkt auf benutzungspflichtigem Radweg, ich musste in fließenden Verkehr im Bereich einer BAB-Auffahrt ausweichen.",0,Saarbrücken
49.40863763,6.91179451,1071817460000,5,0,0,0,1,0,0,0,0,0,0,1,0,0,1,"",0,Saarbrücken
49.29977502,6.94732856,1691719970000,5,0,0,4,1,0,0,0,1,0,0,0,0,0,1,"",0,Saarbrücken
49.4056313,6.91298784,1691602596000,5,0,0,4,1,0,0,0,0,0,0,1,0,0,1,"",0,Saarbrücken
49.35725741,6.93248576,1691603399000,5,0,0,4,1,0,0,0,0,0,0,1,0,0,1,"",0,Saarbrücken
49.34006929,6.93255259,1691603675000,5,0,0,4,1,0,0,0,0,0,1,0,0,0,0,"",0,Saarbrücken
49.3272641,6.93520116,1691603923000,5,0,0,4,1,0,0,0,0,0,0,1,0,0,1,"",0,Saarbrücken
49.32675943,6.93543067,1691603932000,5,0,0,4,1,0,0,0,0,0,0,1,0,0,1,"",0,Saarbrücken
49.30276763,6.96884792,1691604596000,5,0,0,4,7,0,0,0,0,0,0,0,0,0,1,"Baum quer über den Weg",0,Saarbrücken
49.29364254,6.97269981,1691604820000,5,0,0,4,7,0,0,0,0,0,0,0,0,0,0,"Baum quer über den Weg, Weg unpassierbar",0,Saarbrücken
49.40670172,6.9086037,1071731129000,5,0,0,0,1,0,0,0,0,0,0,1,0,0,1,"",0,Saarbrücken
49.2474076,6.97947351,1690464735000,5,0,0,4,1,0,0,0,1,0,0,0,0,0,1,"",0,Saarbrücken
49.2489943,6.97984046,1690464759000,5,0,0,4,1,0,0,0,0,0,0,1,0,0,1,"",0,Saarbrücken
49.37812659,6.90307443,1690468080000,5,0,0,4,5,0,0,0,0,0,0,0,0,1,1,"Traktor",0,Saarbrücken
49.196578,7.035740,1622300438003,1,0,0,1,7,0,0,0,0,0,0,0,0,0,0,"",0,Saarbrücken
49.30270909331739,6.944154063239694,1623882011000,0,0,0,0,8,0,0,0,0,0,0,1,0,0,1,"PKWs parken im absoluten Haltverbot, sodass man mit dem Rad zwischen den beiden Schienen der Straßenbahn fahren muss.",0,Saarbrücken
49.30498834233731,6.944973645731807,1623882144000,0,0,0,0,8,0,0,0,0,0,0,1,0,0,1,"PKWs parken im absoluten Haltverbot, sodass man mit dem Rad zwischen den beiden Schienen der Straßenbahn fahren muss.",0,Saarbrücken
49.243070343509316,6.9822080712765455,1623880363000,0,0,0,0,8,0,0,0,0,0,0,0,0,0,1,"Benutzungspflichtiger Radweg endet unvermittelt an einer Baustelle. Keine sichere Möglichkeit zur Einfädelung in Straßenverkehr",0,Saarbrücken
49.25761747173965,6.959335869178176,1623881061000,0,0,0,0,8,0,0,0,0,0,0,0,0,0,1,"Dicker Baumast hängt in den Radweg und versperrt ihn komplett",0,Saarbrücken
49.24394235480577,6.97106902487576,1623293969000,0,0,0,0,1,0,0,0,0,0,0,1,0,0,1,"",0,Saarbrücken
49.41292973700911,6.894399588927627,1625950078000,,0,0,,8,0,0,0,0,0,0,1,0,0,1,"Fahrer lässt Motor extra laut aufheulen",0,Saarbrücken
49.301551007665694,6.896435469388962,1626069846000,,0,0,,8,0,1,1,0,0,0,1,0,0,1,"Die Radverkehrsführung ist hier eine Katastrophe",0,Saarbrücken
49.30067996028811,6.946546509861946,1625486881000,,0,0,,8,0,0,0,0,0,0,0,0,0,1,"Sturz bei Querung der Straßenbahnschienen nach Regenschauer.",0,Saarbrücken
49.3600483937189,6.912152292206883,1625838190000,,0,0,,7,0,0,1,0,0,0,0,0,0,1,"",0,Saarbrücken
49.36542781535536,6.916974568739533,1625838268000,,0,0,,7,0,0,1,0,0,0,0,0,0,0,"",0,Saarbrücken
49.233294781297445,6.952810641378164,1628949601000,,0,0,,8,0,0,0,0,0,0,0,0,1,1,"Touristischer Radweg, an dem man sein Rad steile und enge Treppen herunter oder hinauf wuchten muss, nachdem man auf einem ca. 50cm (nicht übertrieben!) breiten Pfad unmittelbar neben der Leitplanke der Autobahn vorbei musste, der für Fahrräder im Gegenverkehr UND Fußgänger vorgesehen ist. Großer Spaß mit Lastenrad oder Fahrradanhänger mit Kind.",0,Saarbrücken
49.28525692317635,7.010507471859455,1630502696000,,0,0,,7,0,0,0,0,0,0,1,0,0,0,"Fahrzeuge parken auf benutzungspflichtigem Radweg",0,Saarbrücken
49.28525692317635,7.010507471859455,1630502696000,,0,0,,7,0,0,0,0,0,0,1,0,0,0,"Fahrzeuge parken auf benutzungspflichtigem Radweg",0,Saarbrücken
49.27172921,6.85619946,1664983581000,5,0,0,4,7,0,0,0,0,0,0,0,0,0,0,"Baum quer über Radwanderweg",0,Saarbrücken
49.23885222,6.94459365,1664985156000,5,0,0,4,1,0,0,0,0,0,0,1,0,0,1,"",0,Saarbrücken
49.24062681,6.94753925,1664985210000,5,0,0,4,1,0,0,0,0,0,0,1,0,0,0,"",0,Saarbrücken
49.4008125,6.91935248,1654083738000,5,0,0,4,1,0,0,0,0,0,0,1,0,0,0,"",0,Saarbrücken
49.30831486,6.90062318,1657880118000,5,0,0,4,1,0,0,0,0,0,0,1,0,0,1,"",0,Saarbrücken
49.31056674,6.90159204,1657880176000,5,0,0,4,1,0,0,0,0,0,0,1,0,0,0,"",0,Saarbrücken
49.40664611,6.90890971,1657203308000,5,0,0,4,1,0,0,0,0,0,0,1,0,0,1,"",0,Saarbrücken
49.24822365,6.97936206,1657199227000,5,0,0,4,1,0,0,0,0,0,0,1,0,0,1,"",0,Saarbrücken
49.23913317,6.99874598,1658424260000,5,0,0,4,1,0,0,0,0,0,0,1,0,0,0,"",0,Saarbrücken
49.34023243,6.88566058,1658418103000,5,0,0,4,1,0,0,0,0,0,0,1,0,0,1,"",0,Saarbrücken
49.23919894,6.99873207,1657868450000,5,0,0,4,1,0,0,0,0,0,0,1,0,0,1,"",0,Saarbrücken
49.23763252,6.99727252,1657868484000,5,0,0,4,1,0,0,0,1,0,0,0,0,0,1,"",0,Saarbrücken
49.3871645,6.92702168,1657782088000,5,0,0,4,1,0,0,0,0,0,0,1,0,0,0,"",0,Saarbrücken
49.40307389,6.91572802,1657782337000,5,0,0,4,1,0,0,0,0,0,0,1,0,0,0,"",0,Saarbrücken
49.40424579,6.91412326,1657782358000,5,0,0,4,1,0,0,0,0,0,0,1,0,0,0,"",0,Saarbrücken
