lat,lon,ts,bike,childCheckBox,trailerCheckBox,pLoc,incident,i1,i2,i3,i4,i5,i6,i7,i8,i9,scary,desc,i10,region
50.24549969471991,8.719885982573032,1619760070000,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,,0,Wetterau
50.28322513215244,8.769800551235676,1622127192000,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,,0,Wetterau
50.28301944024861,8.770082015544176,1622127186000,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,,0,Wetterau
50.2455641515553,8.720099637284875,1620796453000,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,,0,Wetterau
50.242211390286684,8.745177201926708,1620796705000,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,,0,Wetterau
50.31789381522685,8.74626592732966,1622036419000,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,,0,Wetterau
50.31816316768527,8.74627866782248,1622036422000,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,,0,Wetterau
50.298937554471195,8.707390073686838,1621918949000,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,,0,Wetterau
50.457518,8.727781,1624250174000,1,0,0,0,2,0,0,0,0,0,0,0,1,0,0,,0,Wetterau
50.455840,8.727949,1624196714999,1,0,0,0,8,0,0,0,0,1,0,0,0,0,0,"Sattelzug auf Geh-/Radweg. ",0,Wetterau
50.434693,8.674636,1623854508000,1,0,0,0,1,0,0,0,0,0,0,1,0,0,0,,0,Wetterau
50.436016,8.676847,1623690449000,1,0,0,0,3,0,0,0,0,0,0,1,0,0,0,,0,Wetterau
50.435900,8.673319,1623691295000,1,0,0,0,8,0,0,0,0,0,0,1,0,0,0,"Vorfahrtsverletzung beim Verlassen des Parkplatzes",0,Wetterau
50.434817,8.675199,1623691382000,1,0,0,0,3,0,0,0,0,0,0,1,0,0,0,,0,Wetterau
50.404620,8.741918,1623336334000,1,0,0,0,1,0,0,0,0,0,0,1,0,0,1,"",0,Wetterau
50.436346,8.682375,1624277391999,1,0,0,0,8,0,0,0,0,0,0,1,0,0,0,"Vorfahrts miss Achtung durch zwei Pkw Fahrer.",0,Wetterau
50.434494,8.673166,1624177650000,1,0,0,0,4,0,0,0,0,0,0,1,0,0,0,,0,Wetterau
50.424643,8.670136,1623427996000,1,0,0,0,8,0,0,0,0,0,0,0,0,1,0,"Teilweise zugewachsener Radweg",0,Wetterau
50.432175,8.664406,1623428232000,1,0,0,0,2,0,0,0,0,0,0,1,0,0,0,,0,Wetterau
50.435312,8.675907,1624013733999,1,0,0,0,1,0,0,0,0,0,0,1,0,0,0,,0,Wetterau
